Nfur_Accession	Nfur_Description	Nfur_Symbol	Mmu_Symbol
XP_015796011.1	calponin-2-like	LOC107372319	Cnn2
XP_015796012.1	growth arrest and DNA damage-inducible protein GADD45 alpha-like isoform X1	LOC107372320	Gadd45a
XP_015796013.1	growth arrest and DNA damage-inducible protein GADD45 alpha-like isoform X2	LOC107372320	Gadd45a
XP_015796015.1	ubiquitin thioesterase OTUB1	otub1	Otub1
XP_015796015.1	ubiquitin thioesterase OTUB1	otub1	Otub2
XP_015796019.1	nectin-4-like isoform X3	LOC107372324	Cd80
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14-1
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14n-3
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14d-3-dv8
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14-2
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14-3
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14n-2
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14d-1
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14n-1
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trav14d-2
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	Trdv2-1
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav3-4
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav7-6
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trbv14
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav12-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav12-2
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav17
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trdv2-2
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav6-4
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav6-5
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav3-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav7-1
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav8-1
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav12d-2
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav12n-2
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav6d-4
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav3n-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav3d-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav12n-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav7n-6
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav8d-1
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trbv12-2
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav7d-6
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav12d-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trbv4
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	Trav6n-5
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trbv3
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav13d-2
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav13n-3
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav4d-4
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trdv2-1
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trbv2
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav13-4-dv7
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trbv13-2
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav13-2
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav13d-3
